height_score,player_x,player_y,nearest_plat_x,nearest_plat_y
125,459,-5689,386,-5639
125,459,-5674,386,-5639
125,459,-5693,386,-5639
125,459,-5711,386,-5639
125,459,-5728,386,-5639
125,459,-5744,386,-5639
125,459,-5759,386,-5639
125,459,-5773,386,-5639
125,457,-5786,386,-5639
125,455,-5798,386,-5639
125,452,-5809,386,-5639
125,449,-5819,386,-5639
125,445,-5828,386,-5639
125,441,-5836,386,-5639
125,437,-5843,386,-5639
125,434,-5849,386,-5639
125,432,-5854,386,-5639
125,431,-5858,386,-5639
125,431,-5861,386,-5639
125,431,-5863,386,-5639
125,431,-5864,386,-5639
125,431,-5864,386,-5639
125,431,-5863,386,-5639
125,431,-5861,386,-5639
125,431,-5858,386,-5639
125,431,-5854,386,-5639
125,431,-5850,386,-5639
125,431,-5845,386,-5639
125,431,-5839,386,-5639
125,431,-5832,386,-5639
125,431,-5824,386,-5639
125,431,-5815,386,-5639
125,431,-5805,386,-5639
125,431,-5794,386,-5639
125,431,-5782,386,-5639
125,431,-5769,386,-5639
125,429,-5755,386,-5639
125,427,-5740,386,-5639
125,424,-5724,386,-5639
125,421,-5707,386,-5639
125,417,-5689,386,-5639
125,413,-5674,386,-5639
125,409,-5693,386,-5639
125,406,-5711,386,-5639
125,404,-5728,386,-5639
125,403,-5744,386,-5639
125,403,-5759,386,-5639
125,403,-5773,386,-5639
125,403,-5786,386,-5639
125,403,-5798,386,-5639
125,403,-5809,386,-5639
125,403,-5819,386,-5639
125,403,-5828,386,-5639
125,403,-5836,386,-5639
125,403,-5843,386,-5639
125,403,-5849,386,-5639
125,403,-5854,386,-5639
125,403,-5858,386,-5639
125,403,-5861,386,-5639
125,403,-5863,386,-5639
125,403,-5864,386,-5639
125,403,-5864,386,-5639
125,403,-5863,386,-5639
125,403,-5861,386,-5639
125,403,-5858,386,-5639
125,403,-5854,386,-5639
125,403,-5850,386,-5639
125,403,-5845,386,-5639
125,403,-5839,386,-5639
125,403,-5832,386,-5639
125,403,-5824,386,-5639
125,403,-5815,386,-5639
125,403,-5805,386,-5639
125,403,-5794,386,-5639
125,403,-5782,386,-5639
125,403,-5769,386,-5639
125,403,-5755,386,-5639
125,403,-5740,386,-5639
125,403,-5724,386,-5639
125,403,-5707,386,-5639
125,403,-5689,386,-5639
125,403,-5674,386,-5639
125,403,-5693,386,-5639
125,401,-5711,386,-5639
125,399,-5728,386,-5639
125,396,-5744,386,-5639
125,393,-5759,386,-5639
125,389,-5773,386,-5639
125,385,-5786,386,-5639
125,380,-5798,386,-5639
125,375,-5809,386,-5639
125,369,-5819,386,-5639
125,363,-5828,386,-5639
125,356,-5836,386,-5639
125,349,-5843,386,-5639
125,341,-5849,148,-5895
125,333,-5854,148,-5895
125,324,-5858,148,-5895
125,315,-5861,148,-5895
125,305,-5863,148,-5895
125,295,-5864,148,-5895
